10:57:23.175 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.happytech.electronic.store.ElectronicStoreApplicationTests], using SpringBootContextLoader
10:57:23.249 INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.happytech.electronic.store.ElectronicStoreApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
10:57:23.250 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.happytech.electronic.store.ElectronicStoreApplicationTests]: ElectronicStoreApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
10:57:23.688 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.happytech.electronic.store.ElectronicStoreApplication for test class com.happytech.electronic.store.ElectronicStoreApplicationTests
10:57:23.943 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
10:57:23.993 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@40844aab, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1f6c9cd8, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@5b619d14, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@66746f57, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@447a020, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7f36662c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@28e8dde3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6d23017e, org.springframework.test.context.event.EventPublishingTestExecutionListener@54dcfa5a, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1817f1eb, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@767e20cf, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@3a3e78f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@301ec38b, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@17a1e4ca, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@10ded6a9]
10:57:25.082 INFO  c.h.e.s.ElectronicStoreApplicationTests - Starting ElectronicStoreApplicationTests using Java 19.0.1 on DELL with PID 7592 (started by patil in D:\Intellige_workspace\Electronic store\Electronic-store)
10:57:25.083 INFO  c.h.e.s.ElectronicStoreApplicationTests - The following 1 profile is active: "dev"
10:57:25.087 INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
10:57:27.082 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
10:57:27.295 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 190 ms. Found 3 JPA repository interfaces.
10:57:28.806 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
10:57:28.925 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
10:57:29.392 INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
10:57:29.780 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
10:57:30.650 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
10:57:30.682 INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
10:57:32.565 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
10:57:32.585 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
10:57:34.562 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
10:57:36.366 INFO  c.h.e.s.ElectronicStoreApplicationTests - Started ElectronicStoreApplicationTests in 12.23 seconds (JVM running for 22.141)
10:57:37.004 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
10:57:37.039 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
10:57:37.144 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
14:23:31.837 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.happytech.electronic.store.ElectronicStoreApplicationTests], using SpringBootContextLoader
14:23:31.860 INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.happytech.electronic.store.ElectronicStoreApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
14:23:31.861 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.happytech.electronic.store.ElectronicStoreApplicationTests]: ElectronicStoreApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
14:23:32.095 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.happytech.electronic.store.ElectronicStoreApplication for test class com.happytech.electronic.store.ElectronicStoreApplicationTests
14:23:32.254 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
14:23:32.305 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6492fab5, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2c5529ab, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@39a8312f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5f6722d3, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2c532cd8, org.springframework.test.context.support.DirtiesContextTestExecutionListener@294e5088, org.springframework.test.context.transaction.TransactionalTestExecutionListener@51972dc7, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3700ec9c, org.springframework.test.context.event.EventPublishingTestExecutionListener@2002348, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5911e990, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@31000e60, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1d470d0, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@24d09c1, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@54c62d71, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@65045a87]
14:23:32.890 INFO  c.h.e.s.ElectronicStoreApplicationTests - Starting ElectronicStoreApplicationTests using Java 19.0.1 on DELL with PID 15508 (started by patil in D:\Intellige_workspace\Electronic store\Electronic-store)
14:23:32.894 INFO  c.h.e.s.ElectronicStoreApplicationTests - The following 1 profile is active: "dev"
